,COUNTRY,COURSE TYPE,COURSE (SPECIALIZATION),FEES
442,ITALY,M.ENG,M.ENG in Chemical,904770.0
443,ITALY,M.ENG,M.ENG in Computer Science Engineering,904770.0
444,ITALY,M.ENG,M.ENG in Aerospace,904770.0
445,ITALY,M.ENG,M.ENG in Biomedical,904770.0
446,ITALY,M.ENG,M.ENG in Electrical,904770.0
447,ITALY,M.ENG,M.ENG in Energy & Environment,542040.0
448,ITALY,M.ENG,M.ENG in Food Technology,343292.0
449,ITALY,M.ENG,M.ENG in Industrial,235064.69
450,ITALY,M.ENG,M.ENG in Materials,406530.0
451,ITALY,M.ENG,M.ENG in Mechatronics,442666.0
452,ITALY,M.ENG,M.ENG in Nanotechnology,352326.0
453,ITALY,M.ENG,M.ENG in Nuclear,316190.0
454,ITALY,M.ENG,M.ENG in Production,406530.0
455,ITALY,M.Sc,M.Sc in Physics,406530.0
456,ITALY,M.Sc,M.Sc in Chemistry,271020.0
457,ITALY,M.Sc,M.Sc in Biology,252952.0
458,ITALY,M.Sc,M.Sc in Environment,623346.0
459,ITALY,M.Sc,M.Sc in Mathematics,442666.0
460,BELGIUM,MBA,MBA in Business Administration,3524922.2
461,BELGIUM,MBA,MBA in Supply Chain & Logistics,1170605.0
462,BELGIUM,MBA,MBA in Executive MBA,3524922.2
463,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,1355913.1
464,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Management,1170605.0
465,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in General Management,3524922.2
466,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Global Management,1170605.0
467,BELGIUM,MASTERS OF MANAGEMENT,"MASTERS OF MANAGEMENT in 
Finance",1170605.0
468,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business,1373992.0
469,BELGIUM,MASTERS OF MANAGEMENT,"MASTERS OF MANAGEMENT in 
Information Technology",158189.88
470,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Business Administration,1310716.0
471,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Economics College,3663677.2
472,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Entrepreneurship & Leadership Management,1309930.0
473,BELGIUM,M.ENG,M.ENG in Mechanical,504097.2
474,BELGIUM,M.ENG,M.ENG in Electrical,594437.2
475,BELGIUM,M.ENG,M.ENG in Architecture,316190.0
476,BELGIUM,M.ENG,M.ENG in Civil,130993.0
477,BELGIUM,M.ENG,M.ENG in Chemical,542040.0
478,BELGIUM,M.ENG,M.ENG in Agriculture,130993.0
479,BELGIUM,M.ENG,M.ENG in Biology,311673.0
480,BELGIUM,M.ENG,M.ENG in Biomedical,542040.0
481,BELGIUM,M.ENG,M.ENG in Materials,542040.0
482,BELGIUM,M.ENG,M.ENG in Nuclear,80402.6
483,BELGIUM,M.Sc,M.Sc in Physics,81848.04
484,BELGIUM,M.Sc,M.Sc in Chemistry,172188.05
485,BELGIUM,M.Sc,M.Sc in Biology,130993.0
486,BELGIUM,M.Sc,M.Sc in Psychology ,130993.0
487,BELGIUM,M.Sc,M.Sc in Environment,90340.0
488,BELGIUM,M.Sc,M.Sc in Data Analysis,102084.2
489,BELGIUM,M.Sc,M.Sc in Data Analysis,102084.2
490,BELGIUM,M.Sc,M.Sc in Data Analysis,102084.2
488,BELGIUM,M.Sc,M.Sc in Data Analysis,102084.2
488,BELGIUM,M.Sc,M.Sc in Data Analysis,102084.2
